,Cg (ACAd + ACAv),Acb (ACB),"TC (AHN, LHA, TU, VMH)",AI (AId),"AI-b (GU, Ald, Alv)",AIP (AIP),"MDThal (MH, LH, PVT, IMD, MD, Amd, CM)","DpMe (APN, MRN, NPC)","Au (AUDd, AUDp, AUDv)",BLP (BLA),"BLA (BLA, LA)","BMA (BMA, COAa, COAp, MEA, PAA)","CA (CEA, IA)",Cl (CLA),PMCo (COAp),CPu (CP),"PnO (CS, PRNr, TRN)","Hipp (CA1, CA2, CA3, DG)",Ect (ECT),LEnt (ENTl),"Ent (ENTl, ENTm)",DEn (EPd),"En (EPd, EPv)","IC (CUN, ICe, MRN)",LDThal (LD),"CauThal (LGd, LGv, LP, MGd, MGm, MGv, PO, SPFp)","LS (LSc, LSr, LPO)",Mamm (MM),M1 (Mop),M2 (Mos),M (MOp + MOs),"SC (MPT, NOT)",MS (MS),DP (ORBl),MO (ORBm),VO (ORBvl),PAG (PAG),"PS (PAR, POST, PRE)",PRh (PERI),Pir (PIR),PrL (PL),"VLThal (RE, RH, SMT)","RSC (RSPd, RSPv)","RSC-b (RSPagl, RSPd, RSPv)","RSA (RSPd, RSPv)","VMThal (RT, VAL, VM, VPL, VPM)","SuC (SCm, SCs)",ot (SI),"SN (SNc, SNr)",S2 (SSs),"S1 (SSp-m, SSp-n, SSp-ul, SSs)","S1-b (SSp-II, SSp-tr, SSp-bfd)",SuM (SUM),TeA (TEa),Ins (VISC),"V (VISal, VISam, VISp)","V-b (VISp, VISpl, VISpm)",VTA (VTA)
"Ent (ENTl, ENTm)",0.007434662,0.08024293,0,0,0.000740602,0.00306735,0.000124939,0,0.001095506,0.011205061,0.005739065,0.001786106,0.000793044,0.000162259,0.003552893,0,0,0.060201094,0.012651982,0.13651629,0.126072774,0.006889081,0.004554872,0,0.001945015,3.02428E-05,0.003827341,0,0,0.008096504,0.004048252,0,0.008765549,0,0.000421321,0.000664195,0,0.00736316,0.009966309,0.029686909,0.001218643,0,0.00199025,0.00162006,0.00199025,5.79297E-06,6.73039E-05,0.018318789,4.72447E-05,0,0,0.002083262,0,0.005115158,0,0.004660358,0.001803382,4.68487E-05
DEn (EPd),0.00233915,0,0.00055669,0,0,0,0.006502987,0,0,0,0,0.001525325,0,0,0.003300333,0,9.22001E-05,0,0,0,0,0,0,0,0.000152557,1.46425E-05,7.91093E-05,0.001245929,0,0,0,4.11848E-05,0,0,0,0,0,1.30121E-07,0,0,0,0.003241381,0.001708938,0.001139292,0.001708938,0.00030344,0,0,5.53023E-05,0,0,0,0.000434692,0,0,0,0,5.09411E-05
"En (EPd, EPv)",0.001169575,0,0.000867669,0,0,0,0.004467559,0.006788376,0,0,0,0.000762662,0,0,0.001650166,0,8.69617E-05,0.000400278,0,0,0,0,0,0.007619072,0.000208184,0.001238135,0.005491199,0.000622964,0,0,0,0.00014729,0,0,0,0,0.011095262,8.63393E-05,0,0,0,0.002151122,0.000854469,0.000569646,0.000854469,0.00015172,0.009786944,0,0.000332066,0,0,0,0.000217346,0,0,0,4.38348E-05,0.003048223
"IC (CUN, ICe, MRN)",0,0.001041223,0.030046589,0.001143291,0.001053195,0.000119655,0.003359032,0.094675476,0.000190916,3.70417E-05,1.85208E-05,0.000515819,0.001434244,0.002837056,4.54094E-06,0.041675367,0.138210578,0.002439113,0,0,0,0.001014512,0.000507256,0.159707878,0,0.00766712,0.003951873,0.000346371,0.004774548,0,0.002387274,0.003795951,0,0.000224953,0.000220737,0,0.983015726,0.000121915,0,0.000946301,0.000229504,0.006657846,0,0,0,0.001641622,0.57448384,0.014637842,0.019723337,0.001797527,0.001298774,0.000366325,8.99185E-05,0,0.000841099,0,8.43145E-05,0.020853204
LDThal (LD),0.024228698,0,0.000233396,0,0,0,1.07026E-05,6.45966E-05,0.000180522,0,0,0.000363169,0,0,0.000578221,0,0,0,0,0,9.49724E-05,0,0,0.000249333,0,0.000168794,0.00023415,0,0,0,0,6.40876E-05,0,0,0,0,0.005682844,0.000646843,0,0.002800699,0.001108316,0,0.020964697,0.013976465,0.020964697,0,0.00156446,0,0.001117819,0,0,0,0,0,0,0,0.000124813,6.81703E-06
"CauThal (LGd, LGv, LP, MGd, MGm, MGv, PO, SPFp)",0.005376422,0,0.003323796,0.000954208,0.000884925,0.000483228,0.006324532,0.016749058,0.000428002,0,2.96735E-06,0.000286032,8.88355E-05,3.26034E-06,0.000493542,0,0.001562708,0.036475666,0.001543759,0.001397993,0.001121311,0.000172827,9.21266E-05,0.009979783,0.013368602,0.011737745,0.004428854,0.000360569,0.000976955,0.001825047,0.001401001,0.009009864,0.002658401,1.52197E-05,1.92715E-05,0,0.142964319,0.000616885,0.000453544,0.005351133,0.000343105,0.025559844,0.000755375,0.000503584,0.000755375,0.002523068,0.107989358,0.000584298,0.000459589,0.002359982,0.001002897,0.000977565,0.003399781,0.000360878,0.000850628,0,4.77526E-05,0.009445258
"LS (LSc, LSr, LPO)",0,0.000738023,0,0,0,0,0.006965111,0.004761947,1.74355E-05,0,0,0,0.00145973,0,0,0,0.006884543,0,0,0,0,0,5.49859E-05,0.004714682,0,6.24247E-05,0.013570208,0,0,0,0,0.000387339,0.057428814,0,9.5619E-05,0,0.051910554,0,0,0.00221326,0,0.007838858,0,0,0,0.000221643,0.000220088,0.022844858,0.000337024,1.45972E-05,8.68568E-05,0.000619682,0.004980162,0,0,0,0,0.01172709
Mamm (MM),0.023807908,0,0.053904545,0.004626628,0.001606903,0.00346247,0.045775108,0.007961155,0.000283353,0,0,0.007393565,0,0.004120019,0.035331942,0,0.026198732,0.515690201,0,0.031820653,0.029884499,0,0,0.003246864,0.010188788,0.000915859,0.157421399,0.005318618,0,0,0,0.006502002,0.449547687,0,0,0,0.276170468,0.029298877,0,0,0,0.035191995,0.048946674,0.032941332,0.048946674,0.00067608,0.005617471,0,0,0,9.82687E-05,0.000106973,0.00409588,0.002605627,0,0.000916107,0.000934511,0.029656902
M1 (Mop),0.001075968,0.013874926,8.80219E-05,0.009079535,0.050920109,0.00886303,0.011857174,0.018426424,0.005874362,0.002778701,0.001639363,3.02617E-05,0.007396606,0.047539812,0,2.288189483,0.01254229,0.00015428,0.010853554,0,3.36766E-05,0.012548078,0.006623218,0.017971523,0,0.002021292,0.002563829,0,1.270528277,0.113509838,0.692019058,5.72367E-05,0,0,0,0,0.022793144,0.000113791,0.004215971,0,0,0.001630308,0.001468544,0.000979029,0.001468544,0.023033419,0.012522021,0.00577322,0.003173982,0.269586929,0.233005462,0.080424377,0,0.013426691,0.06992871,0.00020053,4.02665E-05,0.00266191
M2 (Mos),0.00535467,0.080527803,0.00092696,0.04560555,0.035334569,0.009217311,0.005916834,0.011803454,0.012760461,0.006794917,0.004040301,7.80175E-05,4.84485E-06,0.071634048,0.000193041,1.287762257,0.019285654,4.55617E-05,0.042187391,0.066811644,0.033820103,0.03090431,0.015608079,0.010417734,0.000753902,0.000130453,0.003599488,7.03232E-05,0.327831651,1.023854028,0.675842839,0.000252496,0,0.142749658,0.006077473,0.063072071,0.081296777,0.000886661,0.042515106,0.059653591,0.00618628,0.010696039,0.011958783,0.007972522,0.011958783,0.002852854,0.018714702,0.004198761,0.001054344,0,0,0.023061669,0.001030222,0.027557851,0.006206388,0.010744068,0.00525451,0.004238566
