,Cg (ACAd + ACAv),Acb (ACB),"TC (AHN, LHA, TU, VMH)",AI (AId),"AI-b (Alv, Ald, GU)",AIP (AIP),"MDThal (MH, LH, PVT, IMD, MD, Amd, CM)","DpMe (APN, MRN, NPC)","Au (Aud, Aup, Auv)",BLP (BLA),"BLA (BLA, LA)","BMA (BMA, COAa, COAp, MEA, PAA)","CA (CEA, IA)",Cl (CLA),PMCo (COAp),CPu (CP),"PnO (CS, PRNr, TRN)","Hipp (CA1, CA2, CA3, DG)",Ect (ECT),LEnt (ENTl),"Ent (ENTl, ENTm)",DEn (EPd),"En (EPd, EPv)","IC (ICe, CUN MRN)",LDThal (LD),"CauThal (LGd, LGv, LP, MGd, MGm, MGv, PO, SPFp)","LS (LSc, LSr, LPO)",Mamm (MM),M1 (MOp),M2 (MOs),M (MOp + MOs),"SC (MPT, NOT)",MS (MS),DP (ORBl),MO (ORBm),VO (ORBvl),PAG (PAG),"PS (PAR, POST, PRE)",PRh (PERI),Pir (PIR),PrL (PL),"VLThal (RE, RH, SMT)","RSC (RSPd, RSPv)","RSC-b (RSPagl, RSPd, RSPv)","RSA (RSPd, RSPv)","VMThal (RT, VAL, VM, VPL, VPM)","SuC (SCm, SCs)",ot (SI),"SN (SNc, SNr)",S2 (SSs),"S1 (SSp-m, SSp-n, SSp-ul, SSs)","S1-b (SSp-bfd, SSp-II, SSp-tr)",SuM (SUM),TeA (TEa),Ins (VISC),"V (VISal, VISam, VISp)","V-b (VISp, VISpl, VISpm)",VTA (VTA)
"CauThal (LGd, LGv, LP, MGd, MGm, MGv, PO, SPFp)",0.015712755,0,0.042847348,0.012239174,0.010847125,0.054262546,0.014396107,0.492267735,0.678210803,0.049969804,0.114085019,0.037397954,0.139257046,0.015548863,0.013535538,0.814825369,0.202923724,0.051799704,0.492186982,0.017169627,0.008584813,0.004241041,0.008942331,0.400458021,0.120413366,0.066111049,0.004869009,0.000473931,0.181181662,0.245964323,0.213572993,0.037640986,0,0,0.00014417,0.000337606,0.548416877,0.001377943,0.054059504,0.044656116,0.010561725,0.024686443,0.012516998,0.011246226,0.012516998,0.10139859,0.854812444,0.016755716,0.010634348,0.233973937,0.092995454,0.188168408,0.003410152,1.148559736,0.086436986,0.477378651,0.36837263,0.085326147
"LS (LSc, LSr, LPO)",0.018025723,0.084859968,0.108370231,0.000159021,0.000153774,0,0.013208539,0.013136512,1.74971E-05,0.000762422,0.000381211,0,0.005338423,0,0,0,0.014532064,0.000694624,0,0,0,0,0,0.012380614,0,2.33294E-05,0.122543069,0.001326414,0.010280211,0.019413063,0.014846637,0.00159374,0.056936551,0.00126966,0,0.001575633,0.058641466,0,0.000178595,0.01367441,0.00213386,0.015829646,0.001801689,0.001201126,0.001801689,0.003586676,0.002368079,0.003252479,0,0.000603289,0.000442885,0.001480204,0.012945264,0,0,0.00087372,0.000480015,0.050095269
Mamm (MM),0.174154896,0.997962455,0.288386828,0.05152268,0.038103001,0.028276287,0.100937438,0.105186103,0.002542551,0.017254562,0.011561775,0.014221512,0.000736559,0.064931244,0.054932868,0.683287826,0.154094087,0.998542509,0.067961934,0.405358262,0.350446861,0.130763392,0.07336566,0.087329829,0.050596533,0.010289723,0.709302844,0,0.096354607,0.224669963,0.160512285,0.026746446,0.572250373,0.023407129,0.012506665,0.048851728,0.625954806,0.062658435,0.03055411,0.155843036,0.04343194,0.127190551,0.064555403,0.047250292,0.064555403,0.035515613,0.012699524,0.049159962,0,0,0.002397809,0.007760044,0,0.016602174,0,0.019166871,0.013847956,0
M1 (Mop),0.003078483,0.023790047,0.004993516,0.110828649,0.111980259,0.006348395,0.013054583,0.166109576,0.00184724,0.00063027,0.000315135,0,0.014773961,0.042347425,0,2.979688913,0.028227791,0.000311498,0.004487507,0,0,0.007812731,0.004383726,0.158143815,0.004600244,0.008831098,0.001191001,0,0.700050385,0.287701548,0.493875967,0.002039835,0,0.002849762,0,0.002246474,0.036458465,0,0,0,0,0.001890543,0,0,0,0.103853135,0.101495551,0.041996685,0.095249163,0.490743762,0.408554973,0.118913879,0,0.008109486,0.105516882,0.000318456,0,0.031604228
M2 (Mos),0.043858083,0.11352735,0.013482564,0.025208744,0.020826964,0,0.030532065,0.130662078,0.058367377,0.013509301,0.007497195,1.12796E-05,0.001867735,0.051588346,0,2.054376149,0.050373733,0.000382075,0.065530258,0.051188942,0.025714581,0.026384177,0.013501033,0.113255898,0,0.015276494,0.003264057,0.000110213,0.71546543,0.766859198,0.741162314,0.002399167,0,0.195970922,0.011027265,0.047453936,0.152645246,0.002675344,0.026755644,0.052266963,0.01852094,0.014726754,0,0,0,0.063611548,0.168719467,0.024006833,0.034167804,0,0.001713466,0.226129821,0.00095073,0.061922622,0,0.079033443,0.035181963,0.042019746
"M (Mop, MOs)",0.023468283,0.068658699,0.00923804,0.068018696,0.066403611,0.003174198,0.021793324,0.148385827,0.030107309,0.007069785,0.003906165,5.63978E-06,0.008320848,0.046967885,0,2.517032531,0.039300762,0.000346786,0.035008883,0.025594471,0.012857291,0.017098454,0.008942379,0.135699856,0.002300122,0.012053796,0.002227529,5.51066E-05,0.707757908,0.527280373,0.617519141,0.002219501,0,0.099410342,0.005513632,0.024850205,0.094551855,0.001337672,0.013377822,0.026133481,0.00926047,0.008308649,0,0,0,0.083732341,0.135107509,0.033001759,0.064708484,0.245371881,0.205134219,0.17252185,0.000475365,0.035016054,0.052758441,0.039675949,0.017590981,0.036811987
"SC (MPT, NOT)",0,0,0.166153275,0,0,0,0.05645188,0.516522978,0,0,0.011854753,0.006725222,0,0,0,0,0.029562502,0.006316216,0.004008152,0,0,0,0,0.374811396,1.199669842,0.260851039,0.017845037,0,0,0,0,0.040962047,0.002489367,0,0,0,1.962170681,0.030121919,0,0,0,0.171880898,0.086376741,0.057584494,0.086376741,0.061777805,3.069660239,0,0.041696374,0.008708114,0.004885089,0.006696758,0.000525137,0,0.005944637,0,0,0.077878664
MS (MS),0,0,0.004260033,0,0,0,0.004889029,0,0.000326065,0.008797946,0.004398973,0.012473735,0.000760269,0.000639192,0.031412379,0.006546995,0,0.651051876,0.031606387,0.470351431,0.455033759,0.000666515,0.000333258,0,0.001981097,0.000592228,0.012543717,0.030783168,0,0,0,0,0,0,0,0.001224042,0,0.092833077,0.007346916,0,0,0,0.032735356,0.022253127,0.032735356,0,0,0,0,0,1.24479E-06,0,0.010525201,0.002803153,0,0.002506483,0.002722415,0
DP (ORBl),0.088041213,0.218644431,0.058823187,0.183404105,0.129333703,0,0.074531871,0.221795979,0.008527673,0,0,0.003216081,0,0.083195405,0,0.338078376,0.058273996,0,0.015326281,0.0363037,0.01815185,0.097685658,0.048842829,0.216404453,0,0.003445973,0.003236361,0,0.315953156,1.420788115,0.868370636,0,0,0.392450168,0.107367358,0.264604183,0.219544574,4.97932E-05,0,0,0.12406357,0.051828344,0.000116249,7.74994E-05,0.000116249,0.10057304,0.14410727,0.37298882,0.075361282,0.014022181,0.011352538,0.064330892,0.002579203,0,0,0,0,0.179074407
MO (ORBm),0.383771674,1.356947199,0,0.245407389,0.228190256,0.077614412,0.000225937,0,0.001997763,0.075327489,0.046015773,0.003772819,0.000213477,0.052072217,0,1.398091591,0,0,0.053657518,0.131222795,0.065611397,0.045253545,0.025090052,0,0,0,0.032430463,0,0,0.400892175,0.200446087,0,0.012953461,0.127955011,0,0.048954446,0,0.000635562,0.037261734,0.110885288,0.400216298,0,0.042303874,0.053397404,0.042303874,0,0,0.031106475,0,0,0,0,0.004133734,0,0.002371733,0.013142638,0,0
VO (ORBvl),0.004957644,0.022082067,0,0.034084678,0.030134494,0,0.038336188,0,0.032176588,0.001209227,0.000604613,0,0.011736217,0.06856524,0,1.922717512,0.021513481,0,0.003844452,0,0,0.098729206,0.049364603,0.000422578,0,0.004562968,0.000549239,0,0.362257427,0,0.181128713,0,0,0.109550692,0,0.06198328,0,0,0,0.301304313,0,0.047623772,0.021192652,0.031050703,0.021192652,0.068223161,0,0,0.019955899,0.075774564,0.055205206,0.103723712,0,0.103696135,0.011472245,0.116906767,0.054920317,0
PAG (PAG),0,0.010806697,0.058523785,0,0,0,0.008112195,0.101989315,0,0,0,0.000460279,0.001554155,0,0,0,0.063159666,0,0,0,0,0,0,0.127340263,0.010954708,0.000603541,0.010968003,0,0,0,0,0.003976018,0,0,0,0,0.236588438,0,0,0,0,0.007955231,0,0,0,0.003613555,0.083016279,0.053167457,0.012165926,0,0,0,0.005800071,0,0,0,0,0.034845947
"PS (PAR, POST, PRE)",0,0.0018455,0.018213622,0.000441995,0.001051904,0,0.006069407,0.058550311,0.011324955,0.00060891,0.000894288,0.0001944,0.001009965,0.008661022,2.78151E-05,0.02938286,0,0.073886613,0.465601525,0.308089408,0.364505761,0,7.86534E-05,0.057772911,0.261327649,0.006570896,0.002733828,0.006430548,0,0,0,0.00035148,0.001666645,0,0,0,0.058537469,0.099424625,0.005186386,0.000258648,0,0.003569365,0.120445524,0.084149239,0.120445524,0.019937946,0.061209913,0.00926273,0.007097203,0.000433424,0.000528693,0.002118575,0.005660646,0.052834637,0,0.008559749,0.019578888,0.009241281
